releve_records,TITLE,LITERATURE,YEAR,TAX_SCOPE,SAMPLING_METHOD,QUANT_METHOD,SPECIES,GENERA,EPITHET,FAMILY,PHYLUM,IDENTIFICATION_CONFIDENCE,EPILIST,FLORA,DATASET_CLASSIFICATION,NATURALNESS,INCLUSION_REQUIREMENTS,NUMBER_INDIVIDUALS,SCORE,LONGITUDE,LATITUDE,PRECISION,LIMITS,PHOROPHYTE_FAMILY,PHOROPHYTE_GENUS,PHOROPHYTE_EPITHET,DBH,HEIGHT,OBS.,DOMAIN,COUNTRY,WWF_ECOREGION
1,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil",Paper,2003,Orchidaceae,Others,Presence,Acianthera pubescens,Acianthera,pubescens,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte,All,Semi-natural,,NA,,-43.976111,-21.186944,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
2,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil",Paper,2003,Orchidaceae,Others,Presence,Bulbophyllum plumosum,Bulbophyllum,plumosum,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Semi-natural,,NA,,-43.976111,-21.186944,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
3,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil",Paper,2003,Orchidaceae,Others,Presence,Campylocentrum crassirhizum,Campylocentrum,crassirhizum,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte,All,Semi-natural,,NA,,-43.976111,-21.186944,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
4,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil",Paper,2003,Orchidaceae,Others,Presence,Campylocentrum robustum,Campylocentrum,robustum,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte,All,Semi-natural,,NA,,-43.976111,-21.186944,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
5,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil",Paper,2003,Orchidaceae,Others,Presence,Cattleya loddigesii,Cattleya,loddigesii,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte,All,Semi-natural,,NA,,-43.976111,-21.186944,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
6,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil",Paper,2003,Orchidaceae,Others,Presence,Comparettia coccinea,Comparettia,coccinea,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte,All,Semi-natural,,NA,,-43.976111,-21.186944,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
7,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil",Paper,2003,Orchidaceae,Others,Presence,Encyclia patens,Encyclia,patens,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte,All,Semi-natural,,NA,,-43.976111,-21.186944,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
8,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil",Paper,2003,Orchidaceae,Others,Presence,Epidendrum rigidum,Epidendrum,rigidum,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte; Rupicolous,All,Semi-natural,,NA,,-43.976111,-21.186944,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
9,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil",Paper,2003,Orchidaceae,Others,Presence,Eurystyles actinosophila,Eurystyles,actinosophila,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte,All,Semi-natural,,NA,,-43.976111,-21.186944,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
10,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil",Paper,2003,Orchidaceae,Others,Presence,Gomesa ciliata,Gomesa,ciliata,Orchidaceae,Angiospermae,,Epiphyte,Epiphyte,All,Semi-natural,,NA,,-43.976111,-21.186944,Area,Inside,,,,NA,NA,,Cerrado,Brazil,Cerrado
